NaN,448.3652785046,443.5498349831,440.3661650993,441.8129387281,441.9196726375,440.5467893267,445.0648523347,446.4750387278,445.4908753331,445.9417759351,450,453.026634819,455.1157181799,451.9087433071,455.2179597999,471.1577550477,489.3401159861,505.7959059928,515.7524370513,526.8640912206,543.3143743555,562.8720054138,570,570,564.2157645779,554.2607239347,544.3833355748,530.1135715256,517.7688294143,508.8423250756,497.7318104745,493.6538946301,492.7992691082,486.8351780531,483.6107151413,481.1660727003,479.0123275086,478.2165983903,474.5291938153,467.034518063,461.3434646355,453.7907914799,448.3153001578,446.9856777723,453.5814474886,451.2811917783,444.765700945,436.1877191452,430.6011715428,430,430.0191497693,437.294576867,447.5376191315,452.1931412358,461.1470038293,468.766396101,476.5401268442,488.9183276278,497.606743216,509.4702604908,502.2147985767,494.942557609,485.2696629201,468.0553641759,455.0395109588,449.3114367514,453.3893705987,457.2722108113,464.9865951755,477.1512202855,490.727882195,493.0218307155,489.0654652095,477.5130939376,468.3504502873,461.5424164523,453.1061402589,449.2652568474,445.5825476244,442.1546470682,440,440,442.8352668745,450.2363368819,458.2852862212,467.5439999317,473.5800799959,475.6038309404,471.2375721627,462.9940424869,462.4066598069,468.0052099449,477.5206313462,489.0565848196,496.8799818719,502.0087462178,496.6035622286,493.9857189236,488.4228183661,NaN
NaN,456.0946280496,450.4358077576,447.4942966497,450.485506365,453.3293433582,453.8506169322,455.4509951042,453.7686181054,454.1129445779,455.2641509416,458.4897045458,462.3797869552,466.7904384295,470.7627043986,473.1921394435,481.6156152222,495.2018920485,509.6282905175,518.8208291393,535.3229516994,549.401295308,567.2574696076,570,570,561.5848347006,551.5880734972,541.0504754069,529.0751461326,517.8431439248,510.9040651793,501.5050167235,501.1428344416,501.3378240262,498.4530651336,493.6637931033,492.3855511758,489.4299740744,484.7187123626,479.5235053226,469.6473529961,464.52761973,460.1303521326,455.4354089011,458.9059778759,460.1250446585,454.7105698056,447.1350724806,438.5021454218,434.3722765895,432.6171777376,432.1992245361,435.9968480206,442.9608730706,454.4897817668,464.880759233,478.1952009007,484.9141324949,494.0398742777,502.9399647278,507.2446161169,500.4943280499,493.2220870822,481.6316601133,467.0433559848,456.3229800805,450,452.645461598,464.3526936651,471.2559814144,485.3901587427,494.6026135553,499.2334401227,496.6413636953,486.0431757936,475.972852735,466.6599190288,459.5075974506,454.4594883868,452.4794619218,448.0545194565,442.9403694557,440,440,447.1138817995,458.0343037128,468.8022955166,476.1875720867,480.8790824095,479.6965044341,472.0643959147,467.7723877154,474.1218285721,483.2064000607,490.8859670881,502.9250362002,507.940495534,503.0367824348,496.5445100215,489.2940499804,NaN
NaN,464.3333974065,459.7413279583,458.8721583416,460.0237779571,462.3577514701,464.2768146582,467.3835779657,464.2200739525,465.8723073857,465.438031816,467.8428566834,472.1570894454,478.4651586808,486.2742158298,492.2924336938,499.0206949394,507.2497193489,515.9607578603,527.8894595669,544.3189160225,557.1477893231,569.5625470491,576.7566661669,570.6563534351,559.7209641749,549.1481742714,538.6290423122,527.785489507,518.7917198507,514.5516056279,512.698574933,510.5376124292,508.3017722588,504.5892203037,499.4109195399,497.7653843377,497.3655879309,491.1629875667,482.3255513987,475.326570289,470.2509422991,466.977170616,466.0058577581,465.417179831,465.2096974753,457.9414882346,448.8566314819,440,438.4225824622,437.592182804,435.2363750336,437.8084492234,440,449.1690499657,459.4001211013,480.4299217416,492.2656926034,501.4496489834,510,507.1560765737,498.5134205965,491.5016165552,479.4725038472,465.5767832358,456.6209346058,457.9919914654,465.633679945,474.3774423092,481.6781292996,491.4863763765,500.703440039,507.1102864361,502.6409580675,490.1478017415,480.5074962996,471.1096051742,465.4743426125,461.1991331223,456.5687726655,450.9621099553,445.7469077067,441.7572521282,442.3487855857,447.2627727423,458.9215449439,470.9888019692,479.542237828,486.3149436572,487.3937184265,479.4823395593,475.5282648716,480.9612073586,489.5193704855,495.6335000499,503.3074743844,509.6030353232,501.8671869357,493.1448592934,482.9616951894,NaN
NaN,469.5263831942,471.4522191127,468.7094564867,468.6603936225,469.8450330116,473.4076682309,480.65323856,481.1124224596,476.19854698,475.3952974379,477.9346814027,482.4372159923,489.4915731962,501.6314132671,509.0592531124,513.4985991929,519.0058125199,525.173750678,535.7481334477,549.3253839947,561.6734617423,576.055664154,580,571.5630031918,559.8050373541,548.3522222303,537.2962809452,528.6926126085,525.5861342955,523.3462391573,522.2790814821,517.4293306863,514.6737720686,511.0211587904,505.8821469374,503.1695039768,503.1511905306,498.1157313873,490.7248648748,484.1247549689,480.6525468979,478.2594203504,476.6038001254,474.220896319,467.993411072,455.9130903821,447.4289487856,441.504470618,444.7728549983,445.1663739248,439.2437342172,440,440,443.720265104,453.815997335,472.6158743117,492.9545454539,506.0536973481,510,510,501.8597888716,490.3061907733,478.7720181168,464.410712591,464.0575521486,473.0811224759,481.7147244409,485.5106180297,490.9908036605,500.4609899289,509.6138203263,513.8371477001,510.1625747227,497.9585457642,487.5292901453,479.1059050443,473.6127065994,466.6668526163,458.2285322974,452.4479940559,447.509735952,445.9576767311,446.911115363,448.1869066772,458.8011820038,472.2860115696,483.7382852548,490.9545005807,493.235080077,487.6899886452,483.792609724,491.0956008364,499.9701009347,502.8131501384,510,505.9098308124,497.4278920197,486.4873077462,475.5011138343,NaN
NaN,470.5898363942,477.6360705412,479.6295920379,480.2117841687,482.0976385311,483.9911234743,486.9254789551,487.8396131443,486.4249627616,484.6863132413,485.9416445621,490.4688861922,499.7244289527,513.3143637614,523.7449299001,525.7792865232,529.3924781342,535.2257886997,544.5938437224,556.4095524755,568.1156766763,580,580,573.3805912747,562.0309644135,548.6865993782,537.4407527879,536.1827466726,535.7518245472,534.3074478576,531.207441207,526.9864803338,520.921513928,517.7784118192,512.6813489117,509.54516402,507.8350560187,501.6943666276,496.2160992975,493.0410413849,491.0021245636,487.5906694536,481.1945081221,473.9479059586,463.4914733162,454.5957495208,447.9221133091,446.7772999894,450.5976262126,455.2537163227,449.6555337893,444.5916182389,443.257952146,444.2061436426,448.5632770456,466.766897754,485.2450131888,496.8816668328,506.9168601325,510,502.88631036,488.3486656536,477.2800400621,467.1733556857,476.3888066332,486.3211620534,492.6615832715,494.3117482905,499.8054085044,508.0392896455,520.3593615105,519.8155679939,515.4235379297,508.1587494935,499.6179507172,488.9553704001,480.5409173401,470.7855477859,459.5998885821,455.8822831834,451.3280876181,450,450,450,461.180916299,473.1235049728,485.1099786604,494.2488685846,498.0935407174,498.365941745,492.2353347132,500.9945482747,510.0177650106,512.7807794437,510,503.7867699803,492.3621652387,482.4563822197,472.5259606429,NaN
NaN,465.613957425,478.4079302463,485.937662209,490.2091108673,492.7119022626,494.3046262472,495.4744678977,495.7409626272,494.8221128456,495.401027445,500.1040623332,508.6770833333,516.3753145499,524.9261638305,532.9365931459,539.1878830732,543.3718681448,548.2437464113,553.3875650515,563.0307883253,575.7877931586,586.4605459413,583.7306427574,575.746057903,562.6654451448,549.1256036247,546.9955223138,546.7928673737,546.3135414176,544.9149248749,541.8682272708,537.1095752978,529.8067063729,524.3241377978,518.6973411727,514.6198958688,511.892169063,505.7033685227,501.7340842825,500.5674343763,497.7316589027,490.2228894042,476.9434675619,467.2012666157,460,455.0405054788,451.6889955538,454.275082961,461.1888641142,464.0127147135,457.3485076876,449.6349155314,447.9923687308,449.7341405676,450,458.5436587393,476.8822014293,489.0537565792,498.3201813189,504.7126571679,500.5674991831,487.0509684529,475.6434693124,474.9332292576,488.1627031727,494.8658831035,498.3998059198,503.5026236907,510.491447117,521.2216878433,527.4640796322,527.916071938,524.433271659,515.6697053202,506.3410503396,497.2757009347,486.6131498473,472.8367875655,462.3996444971,460,457.2085051732,452.5968941276,450,451.4015051632,459.2651252798,471.0259473363,484.8095445571,496.4301119531,504.5992009221,506.3413271539,501.991732342,510.7715385849,515.7203211909,518.7392413147,515.0567209019,501.4510170125,489.1905880083,480,474.7926230548,NaN
NaN,458.8758995388,475.6881851387,486.2521681108,494.6837563876,499.295170231,503.1831986001,503.6164210791,504.3916874851,507.1205268313,510.3784171519,517.2823631605,526.3449725891,529.0994371454,536.5679162161,545.580951231,552.4544840107,557.9667062545,560.2182257308,562.7021807535,573.7296769841,583.8058304003,590,588.7011741414,577.4814893769,561.9196553665,556.7893298571,559.1404493434,559.4504914764,558.1545298609,556.398681944,552.3674674171,546.3325866418,538.4000388033,531.1021092854,525.302294735,519.5946907918,516.2858934243,511.6475673215,509.7261218669,508.3086811614,502.7839606995,488.9937261672,477.511588192,469.0059186143,465.0405388274,458.9364293987,457.7781991347,461.6080742926,466.7712518498,471.5556051742,463.19516831,459.3650369,459.4482313919,450,450,455.341480105,469.7694906872,485.5314356096,494.0553533815,498.1573692804,496.430474806,487.9044272665,478.5397192045,482.437453706,489.5848329084,500.0124192234,505.3610024096,514.0169290153,521.7379508888,531.4337349389,535.5076115318,535.9425182485,532.3879392555,524.0913677837,510.174262733,498.4836169076,490.3650299127,474.5715759323,468.306951794,463.8422789216,458.9707927683,455.227596819,454.5150138687,454.9705208879,459.2541601548,469.5276228279,482.6144386754,496.5235786873,510.7731249311,514.4422586051,514.7544263697,521.4474932907,526.3767371466,525.8155448875,519.8498262243,503.4854277342,492.1070579658,482.4291755197,481.8599253625,NaN
NaN,458.7166470369,474.6011756523,486.2106470762,496.3280250011,508.2409606317,510,510,512.0987182852,519.9834670945,524.6144557546,531.1237147241,535.1050436093,539.7512032027,547.3735340228,556.1602813292,567.709090909,570.7038898173,571.0447844709,574.0799146412,579.3647302378,588.281716623,596.9776407582,591.125225624,579.293735094,570.3844063666,568.246239643,571.2021120759,571.7704058294,569.1675275383,566.2024690923,563.0139161067,556.3225322485,548.1778835313,540.0611798308,532.3816479978,525.7720220975,521.8775729272,519.6714575687,517.7500121141,514.5140453902,508.7591779815,499.3503105609,490.069575843,484.5425640731,473.7374729799,463.1855676975,463.999893292,467.0746953085,474.8860752784,480.9412465727,478.8308845225,472.6908877798,466.8111674569,458.3306433013,450,456.1434330279,469.1353447514,482.2511217652,490.9658069386,496.910229578,496.8289831726,489.1463303781,482.2212401112,483.8847431351,489.8758261172,499.374655176,505.0125295917,514.6762197351,523.9493440599,536.2504615187,543.0058699747,543.4988836932,537.7839441206,528.9560839213,514.0018981329,501.9183399742,493.0220181711,479.6384772612,475.9439707674,469.5755640275,463.1014823278,459.7775434268,459.596712502,460.3697324628,461.5696561893,470.0310526978,480.7317004876,493.6226199959,517.8863365445,524.5560253701,526.0023377657,531.9619688579,535.5522156003,531.152544025,521.2992741567,509.9716171827,501.8075708763,494.5240359549,491.8979739507,NaN
NaN,468.5444100047,477.6819606937,486.1065660925,496.0421824262,504.9984625149,510,513.4822884996,518.0140903871,523.779514702,530.5076802908,538.7603518341,544.8186641872,549.5578238705,560.3155416573,566.9299840491,576.2362929217,581.4353580347,583.3570149123,584.2765792651,592.2041040971,598.1715453202,602.113422638,595.7569478224,585.7552310364,582.1173683533,581.4362162344,581.9849679443,582.4307782222,580.2615219716,574.8892152036,570.8862045604,564.5698703372,557.5637097105,548.2435080416,540.1830108874,532.6359609419,530.8834058036,530.829885722,529.4354538032,523.8659530212,517.2391940388,507.0409635124,497.4016477452,489.6872829993,473.3864339399,470,472.6201075243,479.0853448077,483.3970923447,487.3749809075,487.8070732026,483.4902847389,474.5887481503,463.4979281175,456.0444134504,460,471.6276924742,480.5846566513,490.1131769903,496.0482190889,497.5397116414,493.3482317482,489.2944493221,488.5615011888,492.0062481644,496.7105922842,501.1099488225,508.2540291416,521.8105357727,538.7357605533,549.0890667435,549.5109963473,541.6338387313,530.9326727796,521.6295221773,507.6135549194,499.0997405455,491.9757913264,485.6763053985,479.1764690435,474.3235941953,471.1756248224,472.4567278886,472.6375013321,467.8930162773,470.2471047042,480.213470812,492.1785448628,515.913012978,528.3918830733,535.8601898931,541.4885754951,542.2643858714,536.5001506231,527.4440518258,518.6522980231,510.4391443115,504.4504883184,503.1003225236,NaN
NaN,470.5482901298,480,486.1899102907,492.3327046569,496.7155132818,499.1588489723,500.4165716082,507.2187014406,517.0429632407,528.0143059387,537.7795842225,546.9451481633,560.6192173144,567.8118154781,573.144775903,579.0753499021,587.8175471072,593.7119940229,594.8677213556,599.5481056745,606.8016130455,608.5832129976,601.6505897237,594.2293934583,591.9940125203,591.9890040755,591.3590629226,590.745005124,587.6927474112,582.6961547573,575.6056462534,568.8692152675,563.0362170541,554.9670657908,547.0787742329,540.5563952352,539.7695645904,540.7821495726,539.8633863285,534.2975328512,525.5427641977,515.4755790737,501.7737725096,488.9469608595,482.4300376105,475.8828502649,480.0891752866,485.9523745483,491.2131563204,495.6145437152,495.9168399163,491.4337957505,479.2060998163,468.1388162596,462.3205015738,461.7625347185,472.0383017033,480.2272046548,490.8697582161,498.8885115925,502.9912715901,498.7851747145,495.6384648171,493.7323629595,494.3920033998,498.9677940168,500,504.3381137168,518.9775418353,544.3114754093,555.7639424327,554.6336722482,547.7601991928,537.1678983659,526.7374024652,516.6002934761,512.093425873,501.1324119485,495.1168910863,489.4258681285,483.9118713889,484.5081214861,482.9988921533,483.3866287506,480.7769206996,479.894945355,482.6151871104,490.0213124241,506.8950255697,525.4816021705,541.1973203137,547.4764324434,548.4877025582,542.5428187459,534.5472797336,528.1010749751,520.0103409228,517.5454552039,518.3131287099,NaN
